使用设备: cuda
加载CINIC-10数据集...
处理 90000 个图像...
第一个图像类型: <class 'dict'>
图像字典键: ['bytes', 'path']
已处理 0/90000 个图像，成功 1 个
已处理 10000/90000 个图像，成功 10001 个
已处理 20000/90000 个图像，成功 20001 个
已处理 30000/90000 个图像，成功 30001 个
已处理 40000/90000 个图像，成功 40001 个
已处理 50000/90000 个图像，成功 50001 个
已处理 60000/90000 个图像，成功 60001 个
已处理 70000/90000 个图像，成功 70001 个
已处理 80000/90000 个图像，成功 80001 个
成功处理了 90000 个图像，跳过了 0 个图像
处理后图像数组形状: (90000, 32, 32, 3)
处理后标签数组形状: (90000,)
最终图像数组形状: (90000, 3, 32, 32)
处理 90000 个图像...
第一个图像类型: <class 'dict'>
图像字典键: ['bytes', 'path']
已处理 0/90000 个图像，成功 1 个
已处理 10000/90000 个图像，成功 10001 个
已处理 20000/90000 个图像，成功 20001 个
已处理 30000/90000 个图像，成功 30001 个
已处理 40000/90000 个图像，成功 40001 个
已处理 50000/90000 个图像，成功 50001 个
已处理 60000/90000 个图像，成功 60001 个
已处理 70000/90000 个图像，成功 70001 个
已处理 80000/90000 个图像，成功 80001 个
成功处理了 90000 个图像，跳过了 0 个图像
处理后图像数组形状: (90000, 32, 32, 3)
处理后标签数组形状: (90000,)
最终图像数组形状: (90000, 3, 32, 32)
CINIC-10数据集加载和预处理完成.
--- 开始在 cinic10 数据集上进行原版VFL训练 (共 30 个周期) ---
周期 [1/30], 批次 [1070/1407], 损失: 1.5058, 平均损失: 1.7404
周期 [1/30], 批次 [1080/1407], 损失: 1.6386, 平均损失: 1.7383
周期 [1/30], 批次 [1090/1407], 损失: 1.3671, 平均损失: 1.7361
周期 [1/30], 批次 [1100/1407], 损失: 1.4196, 平均损失: 1.7343
周期 [1/30], 批次 [1110/1407], 损失: 1.6295, 平均损失: 1.7329
周期 [1/30], 批次 [1120/1407], 损失: 1.8062, 平均损失: 1.7319
周期 [1/30], 批次 [1130/1407], 损失: 1.3995, 平均损失: 1.7299
周期 [1/30], 批次 [1140/1407], 损失: 1.7586, 平均损失: 1.7286
周期 [1/30], 批次 [1150/1407], 损失: 1.4973, 平均损失: 1.7273
周期 [1/30], 批次 [1160/1407], 损失: 1.5190, 平均损失: 1.7253
周期 [1/30], 批次 [1170/1407], 损失: 1.5246, 平均损失: 1.7248
周期 [1/30], 批次 [1180/1407], 损失: 1.3973, 平均损失: 1.7231
周期 [1/30], 批次 [1190/1407], 损失: 1.5660, 平均损失: 1.7215
周期 [1/30], 批次 [1200/1407], 损失: 1.7756, 平均损失: 1.7205
周期 [1/30], 批次 [1210/1407], 损失: 1.5393, 平均损失: 1.7195
周期 [1/30], 批次 [1220/1407], 损失: 1.4784, 平均损失: 1.7178
周期 [1/30], 批次 [1230/1407], 损失: 1.6817, 平均损失: 1.7164
周期 [1/30], 批次 [1240/1407], 损失: 1.4449, 平均损失: 1.7154
周期 [1/30], 批次 [1250/1407], 损失: 1.4260, 平均损失: 1.7137
周期 [1/30], 批次 [1260/1407], 损失: 1.5062, 平均损失: 1.7120
周期 [1/30], 批次 [1270/1407], 损失: 1.4951, 平均损失: 1.7106
周期 [1/30], 批次 [1280/1407], 损失: 1.4389, 平均损失: 1.7093
周期 [1/30], 批次 [1290/1407], 损失: 1.4336, 平均损失: 1.7083
周期 [1/30], 批次 [1300/1407], 损失: 1.4537, 平均损失: 1.7074
周期 [1/30], 批次 [1310/1407], 损失: 1.6614, 平均损失: 1.7061
周期 [1/30], 批次 [1320/1407], 损失: 1.6807, 平均损失: 1.7051
周期 [1/30], 批次 [1330/1407], 损失: 1.7364, 平均损失: 1.7044
周期 [1/30], 批次 [1340/1407], 损失: 1.5753, 平均损失: 1.7027
周期 [1/30], 批次 [1350/1407], 损失: 1.4094, 平均损失: 1.7014
周期 [1/30], 批次 [1360/1407], 损失: 1.5296, 平均损失: 1.7005
周期 [1/30], 批次 [1370/1407], 损失: 1.7265, 平均损失: 1.6989
周期 [1/30], 批次 [1380/1407], 损失: 1.5048, 平均损失: 1.6980
周期 [1/30], 批次 [1390/1407], 损失: 1.4909, 平均损失: 1.6964
周期 [1/30], 批次 [1400/1407], 损失: 1.8697, 平均损失: 1.6953
周期 [1/30], 批次 [1407/1407], 损失: 1.7466, 平均损失: 1.6947
=== 周期 [1/30] 完成 === 平均损失: 1.6947
周期 [2/30], 批次 [10/1407], 损失: 1.6776, 平均损失: 1.5146
周期 [2/30], 批次 [20/1407], 损失: 1.3683, 平均损失: 1.5087
周期 [2/30], 批次 [30/1407], 损失: 1.8878, 平均损失: 1.5268
周期 [2/30], 批次 [40/1407], 损失: 1.4570, 平均损失: 1.5154
周期 [2/30], 批次 [50/1407], 损失: 1.6008, 平均损失: 1.5177
周期 [2/30], 批次 [60/1407], 损失: 1.3925, 平均损失: 1.5124
周期 [2/30], 批次 [70/1407], 损失: 1.5576, 平均损失: 1.5088
周期 [2/30], 批次 [80/1407], 损失: 1.4158, 平均损失: 1.5074
周期 [2/30], 批次 [90/1407], 损失: 1.2792, 平均损失: 1.5112
周期 [2/30], 批次 [100/1407], 损失: 1.7124, 平均损失: 1.5086
周期 [2/30], 批次 [110/1407], 损失: 1.3751, 平均损失: 1.5108
周期 [2/30], 批次 [120/1407], 损失: 1.4184, 平均损失: 1.5065
周期 [2/30], 批次 [130/1407], 损失: 1.4521, 平均损失: 1.5124
周期 [2/30], 批次 [140/1407], 损失: 1.3824, 平均损失: 1.5078
周期 [2/30], 批次 [150/1407], 损失: 1.2471, 平均损失: 1.5038
周期 [2/30], 批次 [160/1407], 损失: 1.4255, 平均损失: 1.5027
周期 [2/30], 批次 [170/1407], 损失: 1.3382, 平均损失: 1.4983
周期 [2/30], 批次 [180/1407], 损失: 1.4057, 平均损失: 1.4945
周期 [2/30], 批次 [190/1407], 损失: 1.3437, 平均损失: 1.4914
周期 [2/30], 批次 [200/1407], 损失: 1.3231, 平均损失: 1.4861
周期 [2/30], 批次 [210/1407], 损失: 1.3662, 平均损失: 1.4865
周期 [2/30], 批次 [220/1407], 损失: 1.4767, 平均损失: 1.4854
周期 [2/30], 批次 [230/1407], 损失: 1.3909, 平均损失: 1.4844
周期 [2/30], 批次 [240/1407], 损失: 1.5003, 平均损失: 1.4846
周期 [2/30], 批次 [250/1407], 损失: 1.5721, 平均损失: 1.4852
周期 [2/30], 批次 [260/1407], 损失: 1.4102, 平均损失: 1.4864
周期 [2/30], 批次 [270/1407], 损失: 1.4656, 平均损失: 1.4850
周期 [2/30], 批次 [280/1407], 损失: 1.4220, 平均损失: 1.4822
周期 [2/30], 批次 [290/1407], 损失: 1.4484, 平均损失: 1.4814
周期 [2/30], 批次 [300/1407], 损失: 1.6851, 平均损失: 1.4809
周期 [2/30], 批次 [310/1407], 损失: 1.4812, 平均损失: 1.4796
周期 [2/30], 批次 [320/1407], 损失: 1.4392, 平均损失: 1.4788
周期 [2/30], 批次 [330/1407], 损失: 1.5583, 平均损失: 1.4773
周期 [2/30], 批次 [340/1407], 损失: 1.4619, 平均损失: 1.4752
周期 [2/30], 批次 [350/1407], 损失: 1.4358, 平均损失: 1.4744
周期 [2/30], 批次 [360/1407], 损失: 1.5620, 平均损失: 1.4722
周期 [2/30], 批次 [370/1407], 损失: 1.4007, 平均损失: 1.4699
周期 [2/30], 批次 [380/1407], 损失: 1.4977, 平均损失: 1.4698
周期 [2/30], 批次 [390/1407], 损失: 1.4392, 平均损失: 1.4705
周期 [2/30], 批次 [400/1407], 损失: 1.2591, 平均损失: 1.4708
周期 [2/30], 批次 [410/1407], 损失: 1.6730, 平均损失: 1.4709
周期 [2/30], 批次 [420/1407], 损失: 1.4006, 平均损失: 1.4725
周期 [2/30], 批次 [430/1407], 损失: 1.3682, 平均损失: 1.4717
周期 [2/30], 批次 [440/1407], 损失: 1.5167, 平均损失: 1.4712
周期 [2/30], 批次 [450/1407], 损失: 1.2985, 平均损失: 1.4710
周期 [2/30], 批次 [460/1407], 损失: 1.3655, 平均损失: 1.4721
周期 [2/30], 批次 [470/1407], 损失: 1.1324, 平均损失: 1.4705
周期 [2/30], 批次 [480/1407], 损失: 1.4602, 平均损失: 1.4698
周期 [2/30], 批次 [490/1407], 损失: 1.3942, 平均损失: 1.4674
周期 [2/30], 批次 [500/1407], 损失: 1.6145, 平均损失: 1.4673
周期 [2/30], 批次 [510/1407], 损失: 1.3648, 平均损失: 1.4659
周期 [2/30], 批次 [520/1407], 损失: 1.2938, 平均损失: 1.4661
周期 [2/30], 批次 [530/1407], 损失: 1.5858, 平均损失: 1.4666
周期 [2/30], 批次 [540/1407], 损失: 1.4961, 平均损失: 1.4647
周期 [2/30], 批次 [550/1407], 损失: 1.2674, 平均损失: 1.4641
周期 [2/30], 批次 [560/1407], 损失: 1.6916, 平均损失: 1.4641
周期 [2/30], 批次 [570/1407], 损失: 1.6175, 平均损失: 1.4638
周期 [2/30], 批次 [580/1407], 损失: 1.2733, 平均损失: 1.4620
周期 [2/30], 批次 [590/1407], 损失: 1.4465, 平均损失: 1.4609
周期 [2/30], 批次 [600/1407], 损失: 1.6054, 平均损失: 1.4604
周期 [2/30], 批次 [610/1407], 损失: 1.4777, 平均损失: 1.4591
周期 [2/30], 批次 [620/1407], 损失: 1.5557, 平均损失: 1.4585
周期 [2/30], 批次 [630/1407], 损失: 1.4913, 平均损失: 1.4591
周期 [2/30], 批次 [640/1407], 损失: 1.6126, 平均损失: 1.4591
周期 [2/30], 批次 [650/1407], 损失: 1.4152, 平均损失: 1.4576
周期 [2/30], 批次 [660/1407], 损失: 1.4912, 平均损失: 1.4565
周期 [2/30], 批次 [670/1407], 损失: 1.6137, 平均损失: 1.4560
周期 [2/30], 批次 [680/1407], 损失: 1.6229, 平均损失: 1.4555
周期 [2/30], 批次 [690/1407], 损失: 1.3531, 平均损失: 1.4548
周期 [2/30], 批次 [700/1407], 损失: 1.2209, 平均损失: 1.4528
周期 [2/30], 批次 [710/1407], 损失: 1.2619, 平均损失: 1.4512
周期 [2/30], 批次 [720/1407], 损失: 1.3352, 平均损失: 1.4502
周期 [2/30], 批次 [730/1407], 损失: 1.5519, 平均损失: 1.4491
